Deg <3 Points,Deg 1 Points,All Points
"[(326.2924907917446, 179.94831825160227), (101.29249079174463, 309.85212881926805), (101.29249079174454, 50.0445076839365), (123.2924907917446, 159.94831825160227)]","[(326.2924907917446, 179.94831825160227), (101.29249079174463, 309.85212881926805)]","[(326.2924907917446, 179.94831825160227), (101.29249079174463, 309.85212881926805), (101.29249079174454, 50.0445076839365), (123.2924907917446, 159.94831825160227)]"

"[(327.6005859375, 180.0), (102.60058593749994, 50.09618943233423), (54.6005859375, 235.671875), (204.4755859375, 304.03125)]",[],"[(327.6005859375, 180.0), (102.60058593750003, 309.9038105676658), (102.60058593749994, 50.09618943233423), (134.0224609375, 241.09375), (289.2724609375, 120.15625), (132.5537109375, 138.03125), (54.6005859375, 235.671875), (204.4755859375, 304.03125)]"

"[(325.00000000000006, 229.90381056766577), (100.00000000000009, 359.8076211353316), (100.0, 100.0)]","[(325.00000000000006, 229.90381056766577), (100.00000000000009, 359.8076211353316), (100.0, 100.0)]","[(325.00000000000006, 229.90381056766577), (100.00000000000009, 359.8076211353316), (100.0, 100.0)]"

"[(180.12500000000003, 309.85817767114685), (358.8125, 273.46999210348105), (199.0, 126.11061710348105), (256.59375, 368.98561710348105)]",[],"[(405.125, 179.95436710348105), (180.12500000000003, 309.85817767114685), (180.12499999999994, 50.050556535815275), (123.203125, 219.12624210348105), (224.0703125, 205.24342960348105), (358.8125, 273.46999210348105), (199.0, 126.11061710348105), (256.59375, 368.98561710348105)]"

"[(361.572265625, 179.90381056766577), (136.57226562500003, 309.8076211353316), (136.57226562499994, 50.0), (425.822265625, 398.0913105676658)]","[(361.572265625, 179.90381056766577), (136.57226562499994, 50.0)]","[(361.572265625, 179.90381056766577), (136.57226562500003, 309.8076211353316), (136.57226562499994, 50.0), (391.853515625, 150.57568556766577), (133.478515625, 255.96631056766577), (425.822265625, 398.0913105676658)]"

"[(361.572265625, 179.90381056766577), (136.57226562500003, 309.8076211353316), (136.57226562499994, 50.0), (425.822265625, 398.0913105676658)]","[(361.572265625, 179.90381056766577), (136.57226562499994, 50.0)]","[(361.572265625, 179.90381056766577), (136.57226562500003, 309.8076211353316), (136.57226562499994, 50.0), (391.853515625, 150.57568556766577), (133.478515625, 255.96631056766577), (425.822265625, 398.0913105676658)]"

"[(406.431640625, 237.201171875), (166.43164062499994, 98.63710726948983), (221.822265625, 304.779296875), (152.416015625, 129.294921875)]","[(406.431640625, 237.201171875), (166.43164062499994, 98.63710726948983)]","[(406.431640625, 237.201171875), (166.431640625, 375.7652364805102), (166.43164062499994, 98.63710726948983), (518.166015625, 206.513671875), (221.822265625, 304.779296875), (152.416015625, 129.294921875)]"

"[(168.5, 361.5640646055102), (168.49999999999994, 84.43593539448983), (61.140625, 262.15625), (554.8984375, 184.5546875)]",[],"[(408.5, 223.0), (168.5, 361.5640646055102), (168.49999999999994, 84.43593539448983), (61.140625, 262.15625), (229.265625, 207.90625), (228.015625, 153.09375), (399.25, 107.0), (554.8984375, 184.5546875)]"

"[(343.0, 188.56406460551017), (103.0, 327.1281292110204), (102.99999999999994, 50.0), (98.03125, 252.57968960551017)]","[(343.0, 188.56406460551017), (102.99999999999994, 50.0)]","[(343.0, 188.56406460551017), (103.0, 327.1281292110204), (102.99999999999994, 50.0), (52.03125, 240.29843960551017), (134.421875, 272.62656460551017), (98.03125, 252.57968960551017)]"

"[(404.0, 227.6669921875), (163.99999999999994, 89.10292758198983), (64.640625, 282.8544921875), (273.8828125, 319.1904296875)]",[],"[(404.0, 227.6669921875), (164.0, 366.2310567930102), (163.99999999999994, 89.10292758198983), (64.640625, 282.8544921875), (433.3203125, 104.7841796875), (189.7890625, 233.2373046875), (288.78125, 380.7294921875), (273.8828125, 319.1904296875)]"

"[(460.5, 359.0), (413.6370849898476, 472.1370849898476), (300.5, 519.0), (187.3629150101524, 472.1370849898476), (270.46875, 237.09375), (50.53125, 487.125), (348.953125, 115.421875), (502.15625, 371.96875), (353.59375, 469.484375), (141.53125, 314.546875)]",[],"[(460.5, 359.0), (413.6370849898476, 472.1370849898476), (300.5, 519.0), (187.3629150101524, 472.1370849898476), (140.5, 359.0), (187.3629150101524, 245.8629150101524), (300.49999999999994, 199.0), (413.6370849898476, 245.8629150101524), (232.78125, 136.0), (250.890625, 296.875), (554.5, 398.703125), (214.890625, 370.9375), (190.015625, 414.9375), (52.6328125, 332.9921875), (316.625, 50.8203125), (270.46875, 237.09375), (347.390625, 232.015625), (50.53125, 487.125), (348.953125, 115.421875), (502.15625, 371.96875), (353.59375, 469.484375), (141.53125, 314.546875)]"

"[(187.3629150101524, 472.1370849898476), (270.46875, 237.09375), (50.53125, 487.125), (348.953125, 115.421875), (353.59375, 469.484375), (141.53125, 314.546875), (392.65625, 568.96875), (493.53125, 330.03125)]",[],"[(460.5, 359.0), (413.6370849898476, 472.1370849898476), (300.5, 519.0), (187.3629150101524, 472.1370849898476), (140.5, 359.0), (187.3629150101524, 245.8629150101524), (300.49999999999994, 199.0), (413.6370849898476, 245.8629150101524), (232.78125, 136.0), (250.890625, 296.875), (554.5, 398.703125), (214.890625, 370.9375), (190.015625, 414.9375), (52.6328125, 332.9921875), (316.625, 50.8203125), (270.46875, 237.09375), (347.390625, 232.015625), (50.53125, 487.125), (348.953125, 115.421875), (502.15625, 371.96875), (353.59375, 469.484375), (141.53125, 314.546875), (392.65625, 568.96875), (493.53125, 330.03125)]"

"[(293.0, 440.5), (212.78125, 106.4296875), (370.96875, 190.5625), (377.171875, 343.7421875), (178.1171875, 366.4140625), (440.921875, 414.5859375)]","[(293.0, 440.5)]","[(453.0, 280.5), (406.1370849898476, 393.6370849898476), (293.0, 440.5), (179.8629150101524, 393.6370849898476), (133.0, 280.5), (179.8629150101524, 167.3629150101524), (292.99999999999994, 120.5), (406.1370849898476, 167.3629150101524), (431.4453125, 105.4453125), (254.265625, 354.578125), (237.515625, 290.65625), (295.2421875, 205.1875), (176.78125, 77.203125), (220.9375, 148.046875), (212.78125, 106.4296875), (349.8203125, 232.453125), (370.96875, 190.5625), (530.46875, 304.421875), (377.171875, 343.7421875), (486.0859375, 449.7421875), (77.22339241342033, 345.50014646613647), (86.640625, 410.53125), (182.7578125, 335.84375), (178.1171875, 366.4140625), (440.921875, 414.5859375)]"

"[(494.0277099898476, 491.8382568648476), (267.7535400101524, 265.5640868851524), (380.89062499999994, 218.701171875), (389.890625, 50.576171875), (164.984375, 276.732421875), (265.0390625, 439.529296875), (486.375, 328.248046875), (542.40625, 341.248046875), (413.53125, 609.185546875)]",[],"[(540.890625, 378.701171875), (494.0277099898476, 491.8382568648476), (380.890625, 538.701171875), (267.7535400101524, 491.8382568648476), (220.890625, 378.701171875), (267.7535400101524, 265.5640868851524), (380.89062499999994, 218.701171875), (494.0277099898476, 265.5640868851524), (381.0234375, 438.068359375), (557.015625, 296.919921875), (389.890625, 50.576171875), (159.1539066568248, 347.92838367375055), (164.984375, 276.732421875), (265.0390625, 439.529296875), (330.8671875, 582.654296875), (447.4375, 480.216796875), (438.859375, 390.341796875), (516.921875, 299.216796875), (488.078125, 383.583984375), (486.375, 328.248046875), (542.40625, 341.248046875), (487.296875, 593.271484375), (413.53125, 609.185546875)]"

